"class","category","indicator_name","series_name","sub_series_name","parameter","value","units","date_last_updated"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2012-11-01","2.45364592690956","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2012-12-01","2.12920472628987","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2013-01-01","2.97605781906127","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2013-02-01","2.55608358176094","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2013-03-01","2.62536990166685","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2013-04-01","2.58253138020695","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2013-05-01","2.81616086673316","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2013-06-01","2.65928838255293","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2013-07-01","3.64422423510468","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2013-08-01","2.99697486438088","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2013-09-01","3.20966046188741","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2013-10-01","3.14864100969839","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2013-11-01","3.39691853679527","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2013-12-01","3.44770310253145","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2014-01-01","3.74802398209574","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2014-02-01","3.84551795320218","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2014-03-01","3.74213481152227","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2014-04-01","3.80734096626195","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2014-05-01","3.37476702165014","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2014-06-01","2.86948936885493","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2014-07-01","3.38938241975305","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2014-08-01","3.70864515669805","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2014-09-01","3.59831091145313","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2014-10-01","4.07341019711487","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2014-11-01","3.40012859992836","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2014-12-01","3.72851127956514","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2015-01-01","3.26106060952279","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2015-02-01","3.39425581340858","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2015-03-01","3.61293888805995","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2015-04-01","2.89803716568324","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2015-05-01","2.65116208076558","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2015-06-01","3.51980085355889","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2015-07-01","3.08954859620084","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2015-08-01","2.75142293848593","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2015-09-01","3.10044965679934","Annual % change","27-07-23"
"Economic","Activity","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","New Zealand Activity Index (NZAC)","2015-10-01","2.49834776282679","Annual % change","27-07-23"
